symbol,date,open,high,low,close,volume
HCLTECH.NS,2016-08-01,289.80669725632333,304.4317364272932,289.6142625303895,300.3713684082031,6053078
HCLTECH.NS,2016-08-02,302.44978979753307,309.7815750526044,300.6409213262547,308.1843566894531,9400178
HCLTECH.NS,2016-08-03,329.8331128290775,330.41041699388916,314.18816056645414,317.95989990234375,19105090
HCLTECH.NS,2016-08-04,320.5963338306431,321.7509424758915,315.6315072598457,317.07476806640625,2971674
HCLTECH.NS,2016-08-05,317.440387911503,319.9997797166237,314.55386639771524,316.26654052734375,2600712
HCLTECH.NS,2016-08-08,316.3628354232528,319.21088007755225,312.36018188054743,315.2467041015625,3029132
HCLTECH.NS,2016-08-09,315.9779556117451,317.36347683695425,312.14849822381615,314.3807373046875,2480738
HCLTECH.NS,2016-08-10,316.668184712378,317.92826625546365,312.3257451233274,317.21099853515625,2305396
HCLTECH.NS,2016-08-11,317.92827334571626,320.81677275716254,315.52442069241897,319.6923828125,3479246
HCLTECH.NS,2016-08-12,320.27403889601186,323.93797403539605,312.8880251903825,315.6795959472656,3303140
HCLTECH.NS,2016-08-16,315.2918080812735,319.40160323368275,304.57141204077067,307.2078857421875,4489542
HCLTECH.NS,2016-08-17,306.2967191628922,310.5034431185506,303.19498023466036,304.18365478515625,4735658
HCLTECH.NS,2016-08-18,306.2192966141888,307.22737637816465,302.4584318875553,304.6684265136719,3083444
HCLTECH.NS,2016-08-19,304.3581294599538,308.00268213198177,302.26444623740326,303.1368103027344,2618344
HCLTECH.NS,2016-08-22,304.3388421931562,305.269349951209,296.6038736952822,299.4148254394531,2693530
HCLTECH.NS,2016-08-23,300.86871746849323,308.5648987781864,299.162751357296,306.6844787597656,3415382
HCLTECH.NS,2016-08-24,308.23529873981914,309.5341424196966,302.84601801307787,306.4324035644531,2417448
HCLTECH.NS,2016-08-25,309.39858760646354,312.11261030476584,307.8670986366844,309.41796875,4425822
HCLTECH.NS,2016-08-26,309.3985280240519,310.3484405184084,299.6280434588344,301.9349670410156,3324064
HCLTECH.NS,2016-08-29,303.56329232567714,303.56329232567714,291.2144810010073,292.7653503417969,3060904
HCLTECH.NS,2016-08-30,293.11441311374875,300.7718332976066,292.30021587641374,300.0545654296875,4320538
HCLTECH.NS,2016-08-31,300.09328183660983,307.6343903572431,299.72494555625735,301.8573913574219,5584352
HCLTECH.NS,2016-09-01,302.9236202531921,306.12228901824403,302.0706371829662,303.8929138183594,2597516
HCLTECH.NS,2016-09-02,305.1141859293818,305.32742574781975,302.0705904074203,304.18365478515625,2263652
HCLTECH.NS,2016-09-06,302.5165717233031,305.6376927864795,300.36474438561,304.5908508300781,3044598
HCLTECH.NS,2016-09-07,307.03345648040136,312.8879804783649,303.58276172807894,305.1723937988281,3579364
HCLTECH.NS,2016-09-08,303.0011446605339,303.15624108453017,290.9819053969683,300.0738830566406,5158732
HCLTECH.NS,2016-09-09,300.0932985188056,306.10291883798067,299.70558107885887,302.6328430175781,2934120
HCLTECH.NS,2016-09-12,299.31790972021696,307.11102199717317,298.54247472094175,303.46649169921875,4770494
HCLTECH.NS,2016-09-14,304.22252957587443,308.09970436858606,300.481046435149,301.00445556640625,3247132
HCLTECH.NS,2016-09-15,303.5633488436049,304.1643060921705,300.48099072202945,302.0318603515625,1906998
HCLTECH.NS,2016-09-16,303.195030441125,306.6651061745768,300.0932909992721,304.881591796875,4318854
HCLTECH.NS,2016-09-19,306.2968336827742,309.476122005779,303.15633130950783,305.9284973144531,3766566
